time;TraceabilityCode;SlideAdjustment;time.value
2023-02-04 00:30:12.624 CET;1010223034232404;1196,5;2023-02-04 00:33:20.730 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1099,4;2023-02-20 16:14:51.477 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1200;2023-02-20 19:18:13.441 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1450;2023-02-21 11:18:02.573 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1099,4;2023-02-21 15:07:31.615 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1100;2023-02-21 17:33:47.683 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1099;2023-02-21 20:33:19.762 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1178;2023-02-22 01:27:29.255 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1099;2023-02-22 03:28:53.364 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1195,5;2023-02-22 15:25:39.226 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1177,1;2023-02-22 19:52:07.125 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1258;2023-02-23 03:17:10.838 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1258;2023-02-23 08:40:07.451 CET
2023-02-20 14:43:25.088 CET;1010123051134234;1258;2023-02-23 08:57:24.153 CET
2023-02-28 18:11:10.996 CET;1010123059170822;1375,2;2023-02-28 18:14:53.410 CET
