time;RealTDCDistanceToBDC
2022-12-15 12:28:59.778 CET;127
2023-02-04 00:32:36.032 CET;0
2023-02-04 00:32:39.760 CET;127
2023-02-13 19:36:47.065 CET;0
2023-02-13 19:36:53.085 CET;70
2023-02-13 19:37:00.115 CET;262
2023-02-14 05:27:58.713 CET;209
2023-02-14 17:13:27.746 CET;140
2023-02-15 03:21:41.457 CET;228
2023-02-15 07:11:10.456 CET;0
2023-02-15 07:11:19.496 CET;228
2023-02-15 13:29:21.059 CET;128
2023-02-15 18:15:45.683 CET;130
2023-02-15 22:58:57.538 CET;262
2023-02-16 04:42:14.796 CET;58
2023-02-16 09:23:02.071 CET;227
2023-02-16 13:10:15.516 CET;159
2023-02-17 05:17:50.365 CET;206
2023-02-17 07:30:14.095 CET;159
2023-02-17 08:38:13.381 CET;206
2023-02-17 12:05:07.974 CET;170
2023-02-17 22:26:46.926 CET;80
2023-02-18 03:26:06.654 CET;209
2023-02-20 19:16:12.223 CET;230
2023-02-21 11:17:11.473 CET;40
2023-02-21 15:05:40.226 CET;140
2023-02-21 17:28:46.529 CET;128
2023-02-21 20:32:55.681 CET;140
2023-02-21 23:08:28.914 CET;206
2023-02-22 05:28:45.019 CET;140
2023-02-22 15:24:10.687 CET;70
2023-02-22 19:51:57.855 CET;110
2023-02-23 03:16:18.331 CET;218
2023-02-23 08:40:07.451 CET;218
2023-02-23 08:52:06.779 CET;0
2023-02-23 08:52:11.799 CET;218
2023-02-23 08:57:24.153 CET;218
2023-02-23 08:58:15.982 CET;218
2023-02-23 09:15:19.553 CET;218
2023-02-23 09:16:39.983 CET;218
2023-02-23 09:17:14.322 CET;218
2023-02-23 09:17:29.262 CET;218
2023-02-23 09:20:51.835 CET;218
2023-02-23 09:34:18.069 CET;218
2023-02-23 09:35:50.688 CET;218
2023-02-23 09:40:17.328 CET;218
2023-02-23 09:40:50.605 CET;218
2023-02-23 09:43:04.209 CET;218
2023-02-23 09:43:41.559 CET;218
2023-02-23 09:51:29.756 CET;218
2023-02-23 09:51:29.808 CET;218
2023-02-23 10:14:47.973 CET;218
2023-02-23 10:14:48.026 CET;218
2023-02-23 10:23:28.674 CET;130
2023-02-23 11:02:59.029 CET;130
2023-02-23 11:02:59.081 CET;130
2023-02-23 11:05:06.588 CET;130
2023-02-23 11:05:06.638 CET;130
2023-02-23 11:06:18.926 CET;130
2023-02-23 11:06:18.976 CET;130
2023-02-23 11:06:39.595 CET;130
2023-02-23 11:06:39.647 CET;130
2023-02-23 13:00:23.191 CET;130
2023-02-23 13:00:23.243 CET;130
2023-02-23 14:47:18.357 CET;130
2023-02-23 14:47:18.407 CET;130
2023-02-23 14:55:11.005 CET;130
2023-02-23 15:00:12.484 CET;130
2023-02-23 15:01:54.526 CET;130
2023-02-23 15:07:58.368 CET;130
2023-02-23 15:16:02.418 CET;130
2023-02-23 15:50:04.938 CET;262
2023-02-23 22:44:18.197 CET;218
2023-02-24 08:44:36.052 CET;288
2023-02-24 12:00:44.061 CET;170
2023-02-24 19:33:12.499 CET;218
2023-02-24 23:04:58.236 CET;128
2023-02-24 23:05:28.355 CET;0
2023-02-24 23:05:37.385 CET;128
2023-02-24 23:05:44.415 CET;0
2023-02-24 23:05:49.436 CET;128
2023-02-24 23:05:53.456 CET;0
2023-02-24 23:06:01.486 CET;128
2023-02-24 23:06:26.584 CET;262
2023-02-24 23:06:41.644 CET;128
2023-02-24 23:07:36.864 CET;230
2023-02-24 23:07:45.903 CET;128
2023-02-24 23:10:22.520 CET;0
2023-02-24 23:10:27.540 CET;128
2023-02-24 23:16:05.898 CET;230
2023-02-24 23:16:16.938 CET;128
2023-02-24 23:16:21.959 CET;140
2023-02-24 23:16:25.979 CET;128
2023-02-24 23:16:38.029 CET;140
2023-02-24 23:16:44.048 CET;128
2023-02-24 23:19:31.726 CET;0
2023-02-24 23:22:56.542 CET;120
2023-02-25 00:44:44.137 CET;100
2023-02-25 00:48:07.954 CET;120
2023-02-25 00:49:42.332 CET;110
2023-02-25 00:52:19.950 CET;218
2023-02-25 01:00:10.844 CET;119
2023-02-27 08:41:12.520 CET;119
2023-02-27 09:24:02.444 CET;0
2023-02-27 09:24:08.474 CET;119
2023-02-27 13:13:53.283 CET;138
2023-02-27 18:06:47.717 CET;80
2023-02-27 21:41:28.161 CET;58
2023-02-28 00:49:56.301 CET;209
2023-02-28 06:21:26.734 CET;119
2023-02-28 10:46:39.272 CET;218
2023-02-28 19:07:07.171 CET;209
